season,index,category,term,clean_term
winter 2024,12,Accessories,red and black pair from Lexola,red and black pair from lexola
winter 2024,12,Accessories,silver square frames from gentle monster,silver square frame from gentle monster
winter 2024,12,Accessories,gold rounded frames from gentle monster,gold rounded frame from gentle monster
winter 2024,12,Accessories,Fendi frames from Smart Buy Glasses,fendi frame from smart buy glasse
winter 2024,12,Accessories,pair from iBuyDirect,pair from ibuydirect
winter 2024,12,Colors,red,red
winter 2024,12,Colors,black,black
winter 2024,12,Colors,silver,silver
winter 2024,12,Colors,gold,gold
winter 2024,12,Trends,Bayonetta office siren glasses trend,bayonetta office siren glasse trend
winter 2024,12,Trends,square frames trend,square frame trend
winter 2024,12,Trends,New Mew trend,new mew trend
winter 2024,13,Clothing,dress,dress
winter 2024,13,Clothing,coat,coat
winter 2024,13,Clothing,print coat,print coat
winter 2024,13,Clothing,skirt,skirt
winter 2024,13,Clothing,maxi skirt,maxi skirt
winter 2024,13,Clothing,leather maxi skirt,leather maxi skirt
winter 2024,13,Clothing,outfit,outfit
winter 2024,13,Shoes,kitten heels,kitten heel
winter 2024,13,Shoes,ballet flats,ballet flat
winter 2024,13,Shoes,socks and kitten heels,sock and kitten heel
winter 2024,13,Accessories,oversized scarf,oversized scarf
winter 2024,13,Accessories,sock,sock
winter 2024,13,Colors,red,red
winter 2024,13,Colors,cherry red,cherry red
winter 2024,13,Colors,dark maroon,dark maroon
winter 2024,13,Materials,leather,leather
winter 2024,13,Trends,bright cherry red,bright cherry red
winter 2024,13,Trends,dark maroon,dark maroon
winter 2024,13,Trends,sheet of print coat,sheet of print coat
winter 2024,13,Trends,pattern coats,pattern coat
winter 2024,13,Trends,socks and kitten heels,sock and kitten heel
winter 2024,13,Trends,leather maxi skirts,leather maxi skirt
winter 2024,13,Trends,oversized scarf,oversized scarf
winter 2024,13,Trends,chunky oversized scarf,chunky oversized scarf
winter 2024,13,Patterns,sheet of print,sheet of print
winter 2024,14,Clothing,dress,dress
winter 2024,14,Clothing,white dress,white dress
winter 2024,14,Clothing,suede shearing dress,suede shearing dress
winter 2024,14,Clothing,knit fabric dress,knit fabric dress
winter 2024,14,Clothing,ivory satin dress,ivory satin dress
winter 2024,14,Clothing,slopes wear,slope wear
winter 2024,14,Clothing,evening wear,evening wear
winter 2024,14,Clothing,sheer sparkles dress,sheer sparkle dress
winter 2024,14,Clothing,white fur coat,white fur coat
winter 2024,14,Clothing,Nana Jacqueline dress,nana jacqueline dress
winter 2024,14,Clothing,Magda Bertram dress,magda bertram dress
winter 2024,14,Clothing,Helsa dress,helsa dress
winter 2024,14,Clothing,off-shoulder dress,off-shoulder dress
winter 2024,14,Clothing,white sweater,white sweater
winter 2024,14,Colors,white,white
winter 2024,14,Colors,ivory,ivory
winter 2024,14,Materials,suede,suede
winter 2024,14,Materials,knit fabric,knit fabric
winter 2024,14,Materials,satin,satin
winter 2024,14,Materials,fur,fur
winter 2024,14,Trends,winter whites,winter white
winter 2024,14,Trends,quiet luxury,quiet luxury
winter 2024,14,Trends,sheer sparkles,sheer sparkle
winter 2024,14,Trends,white fur coat,white fur coat
winter 2024,14,Trends,off-shoulder dress,off-shoulder dress
winter 2024,15,Clothing,3D knit turtleneck,3d knit turtleneck
winter 2024,15,Clothing,cardigan from the Attico,cardigan from the attico
winter 2024,15,Clothing,sweater,sweater
winter 2024,15,Clothing,brown sweater,brown sweater
winter 2024,15,Clothing,top from Isamiaki,top from isamiaki
winter 2024,15,Clothing,holographic knit tops,holographic knit top
winter 2024,15,Clothing,super fuzzy beanie from Nohles,super fuzzy beanie from nohle
winter 2024,15,Clothing,denim Bag from Jacques Mousse,denim bag from jacque mousse
winter 2024,15,Clothing,tabbies,tabbie
winter 2024,15,Clothing,dress from Zara,dress from zara
winter 2024,15,Clothing,top from Zara,top from zara
winter 2024,15,Clothing,faux first straight like pants,faux first straight like pant
winter 2024,15,Clothing,textured coat from MSGM,textured coat from msgm
winter 2024,15,Accessories,super fuzzy beanie from Nohles,super fuzzy beanie from nohle
winter 2024,15,Colors,brown,brown
winter 2024,15,Materials,sequins,sequin
winter 2024,15,Materials,big knits,big knit
winter 2024,15,Materials,3D knit,3d knit
winter 2024,15,Materials,holographic knit,holographic knit
winter 2024,15,Materials,faux,faux
winter 2024,15,Materials,denim,denim
winter 2024,15,Materials,fuzzy,fuzzy
winter 2024,15,Trends,textures,texture
winter 2024,15,Trends,sequins,sequin
winter 2024,15,Trends,big knits,big knit
winter 2024,15,Trends,3D knit,3d knit
winter 2024,15,Trends,holographic knit,holographic knit
winter 2024,15,Trends,shapes,shape
winter 2024,15,Trends,fuzzy,fuzzy
winter 2024,16,Clothing,white t-shirt,white t-shirt
winter 2024,16,Clothing,v-neck jumper,v-neck jumper
winter 2024,16,Clothing,baggy jeans,baggy jean
winter 2024,16,Clothing,favourite t-shirt,favourite t-shirt
winter 2024,16,Clothing,favourite jeans,favourite jean
winter 2024,16,Clothing,new favourite jumper,new favourite jumper
winter 2024,16,Clothing,coat,coat
winter 2024,16,Clothing,work bag,work bag
winter 2024,16,Shoes,loafers,loafer
winter 2024,16,Accessories,belt (from Lily Silk),belt (from lily silk)
winter 2024,16,Accessories,gold detail,gold detail
winter 2024,16,Accessories,gold bracelet,gold bracelet
winter 2024,16,Accessories,wild necklace,wild necklace
winter 2024,16,Accessories,chunky hoops,chunky hoop
winter 2024,16,Accessories,striped grey scarf,striped grey scarf
winter 2024,16,Accessories,Sunny's,sunny'
winter 2024,16,Accessories,Morty,morty
winter 2024,16,Colors,grey (striped scarf),grey (striped scarf)
winter 2024,16,Materials,cotton (white t-shirt from Uniclo),cotton (white t-shirt from uniclo)
winter 2024,16,Materials,jeans material (favourite jeans),jean material (favourite jeans)
winter 2024,16,Materials,silk (belt from Lily Silk),silk (belt from lily silk)
winter 2024,16,Materials,wool (coat),wool (coat)
winter 2024,16,Trends,layering,layering
winter 2024,16,Trends,stacked necklace,stacked necklace
winter 2024,16,Patterns,polka dot (not explicitly mentioned but it's possible the 'favourite t-shirt' has a pattern),polka dot (not explicitly mentioned but it' possible the 'favourite t-shirt' ha a pattern)
winter 2024,16,Other,fast fluffy socks,fast fluffy sock
winter 2024,16,Other,tea (Fazda),tea (fazda)
winter 2024,16,Other,lined bag,lined bag
winter 2024,16,Other,sunny (weather),sunny (weather)
winter 2024,16,Other,patched work bag,patched work bag
winter 2024,16,Other,new black work bag,new black work bag
winter 2024,17,Clothing,Sherpa Sheerling jacket,sherpa sheerling jacket
winter 2024,17,Clothing,Amazon pullover,amazon pullover
winter 2024,17,Clothing,cozy Sherpa jacket from Advocrombee,cozy sherpa jacket from advocrombee
winter 2024,17,Clothing,designer fitted waist one,designer fitted waist one
winter 2024,17,Clothing,skirt suit,skirt suit
winter 2024,17,Clothing,Amazon skirt suit,amazon skirt suit
winter 2024,17,Clothing,J-Crew Factory skirt suit,j-crew factory skirt suit
winter 2024,17,Clothing,black and white outfits,black and white outfit
winter 2024,17,Colors,black,black
winter 2024,17,Colors,white,white
winter 2024,17,Materials,Sherpa,sherpa
winter 2024,17,Materials,Sheerling,sheerling
winter 2024,17,Trends,Sherpa Sheerling,sherpa sheerling
winter 2024,17,Trends,fitted waist,fitted waist
winter 2024,17,Trends,skirt suit,skirt suit
winter 2024,17,Trends,black and white outfits,black and white outfit
winter 2024,18,Clothing,leopard print dress,leopard print dress
winter 2024,18,Clothing,leopard print pants,leopard print pant
winter 2024,18,Clothing,leopard print coats,leopard print coat
winter 2024,18,Clothing,fur coats,fur coat
winter 2024,18,Clothing,cinched in waist dress,cinched in waist dress
winter 2024,18,Clothing,peplum,peplum
winter 2024,18,Colors,red,red
winter 2024,18,Trends,mob-boy aesthetic,mob-boy aesthetic
winter 2024,18,Patterns,leopard print,leopard print
winter 2024,18,Other,dramatic cinched in waist,dramatic cinched in waist
winter 2024,18,Other,peplum (not the 2012 peplum),peplum (not the 2012 peplum)
winter 2024,19,Clothing,oversized bags,oversized bag
winter 2024,19,Clothing,chunky sweater,chunky sweater
winter 2024,19,Clothing,trench,trench
winter 2024,19,Clothing,trouser,trouser
winter 2024,19,Clothing,collared button up dress,collared button up dress
winter 2024,19,Clothing,corseted belt,corseted belt
winter 2024,19,Shoes,metallic shoe,metallic shoe
winter 2024,19,Shoes,boot style,boot style
winter 2024,19,Accessories,corset,corset
winter 2024,19,Trends,oversized,oversized
winter 2024,19,Trends,metallic,metallic
winter 2024,19,Trends,corset,corset
winter 2024,20,Clothing,Uggs,ugg
winter 2024,20,Clothing,Tazmin slippers,tazmin slipper
winter 2024,20,Clothing,Off shoulder sweaters,off shoulder sweater
winter 2024,20,Clothing,Wool coats,wool coat
winter 2024,20,Clothing,Plaid,plaid
winter 2024,20,Clothing,Knee high boots,knee high boot
winter 2024,20,Clothing,Shorts,short
winter 2024,20,Clothing,Trench coat,trench coat
winter 2024,20,Shoes,Plotform Uggs,plotform ugg
winter 2024,20,Shoes,Tazmin slippers,tazmin slipper
winter 2024,20,Colors,Dark brown,dark brown
winter 2024,20,Colors,Green,green
winter 2024,20,Colors,Brown,brown
winter 2024,20,Materials,Wool,wool
winter 2024,20,Trends,Country core,country core
winter 2024,20,Patterns,Green and brown plaid,green and brown plaid
winter 2024,21,Clothing,dress,dress
winter 2024,21,Clothing,heels,heel
winter 2024,21,Clothing,pants,pant
winter 2024,21,Clothing,blazer,blazer
winter 2024,21,Clothing,cargo pant,cargo pant
winter 2024,21,Clothing,scarf coat,scarf coat
winter 2024,21,Clothing,tights,tight
winter 2024,21,Shoes,heels,heel
winter 2024,21,Accessories,scarf,scarf
winter 2024,21,Accessories,tights,tight
winter 2024,21,Colors,gray,gray
winter 2024,21,Colors,Burgundy,burgundy
winter 2024,21,Trends,socks and heels,sock and heel
winter 2024,21,Trends,sheer and lace pants,sheer and lace pant
winter 2024,21,Trends,scarf coats,scarf coat
winter 2024,21,Trends,Burgundy,burgundy
winter 2024,21,Other,sheer socks,sheer sock
winter 2024,21,Other,oversized,oversized
winter 2024,21,Other,Toe Tum Coat,toe tum coat
winter 2024,21,Other,Abo Kombi,abo kombi
winter 2024,22,Clothing,mohair,mohair
winter 2024,22,Clothing,wool,wool
winter 2024,22,Clothing,satin,satin
winter 2024,22,Clothing,fur,fur
winter 2024,22,Clothing,ruffles,ruffle
winter 2024,22,Clothing,suede,suede
winter 2024,22,Clothing,turtleneck,turtleneck
winter 2024,22,Clothing,hertleneck,hertleneck
winter 2024,22,Clothing,ultra ultra high rise turtleneck,ultra ultra high rise turtleneck
winter 2024,22,Clothing,tastefully sheer tops,tastefully sheer top
winter 2024,22,Accessories,chunky jewelry,chunky jewelry
winter 2024,22,Accessories,chunky hair accessories,chunky hair accessorie
winter 2024,22,Accessories,chunky earrings,chunky earring
winter 2024,22,Accessories,statement clip,statement clip
winter 2024,22,Accessories,chunky bangles,chunky bangle
winter 2024,22,Accessories,chunky scarf,chunky scarf
winter 2024,22,Accessories,sparkly metallic bag,sparkly metallic bag
winter 2024,22,Materials,mohair,mohair
winter 2024,22,Materials,wool,wool
winter 2024,22,Materials,satin,satin
winter 2024,22,Materials,fur,fur
winter 2024,22,Materials,suede,suede
winter 2024,22,Trends,mixing and matching textures,mixing and matching texture
winter 2024,22,Trends,monochromatic look,monochromatic look
winter 2024,22,Trends,sparkly metallic,sparkly metallic
winter 2024,22,Trends,turtleneck,turtleneck
winter 2024,22,Trends,vintage or thrifted real fur,vintage or thrifted real fur
winter 2024,22,Trends,tastefully sheer tops,tastefully sheer top
winter 2024,23,Clothing,trench coat,trench coat
winter 2024,23,Clothing,oversized trench coat,oversized trench coat
winter 2024,23,Clothing,bomber leather jacket,bomber leather jacket
winter 2024,23,Clothing,oversized bomber leather jacket,oversized bomber leather jacket
winter 2024,23,Clothing,maxi skirt,maxi skirt
winter 2024,23,Clothing,silk slip dress,silk slip dress
winter 2024,23,Clothing,long oversized cardigan,long oversized cardigan
winter 2024,23,Shoes,ugg boots,ugg boot
winter 2024,23,Accessories,metallic accessory bag,metallic accessory bag
winter 2024,23,Accessories,leather bando,leather bando
winter 2024,23,Materials,leather,leather
winter 2024,23,Materials,silk,silk
winter 2024,23,Materials,trench coat material,trench coat material
winter 2024,23,Trends,oversized,oversized
winter 2024,23,Trends,masculinity,masculinity
winter 2024,23,Trends,rhinestone crystal,rhinestone crystal
winter 2024,23,Trends,chic,chic
winter 2024,23,Trends,elevated,elevated
winter 2024,23,Trends,cool girl at the party,cool girl at the party
winter 2024,24,Clothing,patterned and colored tits,patterned and colored tit
winter 2024,24,Clothing,pair from Eritzia,pair from eritzia
winter 2024,24,Clothing,pair from Eritzia,pair from eritzia
winter 2024,24,Clothing,suit set from Zara,suit set from zara
winter 2024,24,Clothing,suit set from Zara (separately),suit set from zara (separately)
winter 2024,24,Clothing,sequined skirt,sequined skirt
winter 2024,24,Clothing,blazer,blazer
winter 2024,24,Clothing,heels,heel
winter 2024,24,Clothing,little black dress,little black dress
winter 2024,24,Clothing,dress from Dynamite,dress from dynamite
winter 2024,24,Clothing,faux fur coat,faux fur coat
winter 2024,24,Shoes,heels,heel
winter 2024,24,Accessories,blazer,blazer
winter 2024,24,Colors,colored,colored
winter 2024,24,Materials,faux fur,faux fur
winter 2024,24,Trends,Seekwin,seekwin
winter 2024,24,Patterns,patterned,patterned
winter 2024,24,Patterns,different patterns,different pattern
winter 2024,25,Clothing,3D knit turtleneck,3d knit turtleneck
winter 2024,25,Clothing,cardigan from the Attico,cardigan from the attico
winter 2024,25,Clothing,sweater,sweater
winter 2024,25,Clothing,brown sweater,brown sweater
winter 2024,25,Clothing,top from Isamiaki,top from isamiaki
winter 2024,25,Clothing,holographic knit tops,holographic knit top
winter 2024,25,Clothing,super fuzzy beanie from Nohles,super fuzzy beanie from nohle
winter 2024,25,Clothing,denim Bag from Jacques Mousse,denim bag from jacque mousse
winter 2024,25,Clothing,tabbies,tabbie
winter 2024,25,Clothing,dress from Zara,dress from zara
winter 2024,25,Clothing,top from Zara,top from zara
winter 2024,25,Clothing,faux first straight like pants,faux first straight like pant
winter 2024,25,Clothing,textured coat from MSGM,textured coat from msgm
winter 2024,25,Accessories,super fuzzy beanie from Nohles,super fuzzy beanie from nohle
winter 2024,25,Colors,brown,brown
winter 2024,25,Materials,sequins,sequin
winter 2024,25,Materials,big knits,big knit
winter 2024,25,Materials,3D knit,3d knit
winter 2024,25,Materials,holographic knit,holographic knit
winter 2024,25,Materials,faux,faux
winter 2024,25,Materials,denim,denim
winter 2024,25,Materials,fuzzy,fuzzy
winter 2024,25,Trends,textures,texture
winter 2024,25,Trends,sequins,sequin
winter 2024,25,Trends,big knits,big knit
winter 2024,25,Trends,3D knit,3d knit
winter 2024,25,Trends,holographic knit,holographic knit
winter 2024,25,Trends,shapes,shape
winter 2024,25,Trends,fuzzy,fuzzy
winter 2024,26,Clothing,cardigan,cardigan
winter 2024,26,Clothing,coat,coat
winter 2024,26,Clothing,jackets,jacket
winter 2024,26,Clothing,white t-shirt,white t-shirt
winter 2024,26,Clothing,v-neck jumper,v-neck jumper
winter 2024,26,Clothing,oversized cable-neck jumper,oversized cable-neck jumper
winter 2024,26,Clothing,jeans,jean
winter 2024,26,Colors,bright statement colors,bright statement color
winter 2024,26,Trends,oversized,oversized
winter 2024,26,Trends,layering,layering
winter 2024,27,Clothing,balaclava,balaclava
winter 2024,27,Clothing,jackets,jacket
winter 2024,27,Clothing,fair isle sweaters,fair isle sweater
winter 2024,27,Clothing,ski wear,ski wear
winter 2024,27,Clothing,ski suit,ski suit
winter 2024,27,Accessories,sun glasses,sun glasse
winter 2024,27,Colors,burgundy,burgundy
winter 2024,27,Trends,90s ski wear,90 ski wear
winter 2024,27,Patterns,fair isle,fair isle
winter 2024,28,Clothing,fur bucket hats,fur bucket hat
winter 2024,28,Clothing,leather gloves,leather glove
winter 2024,28,Accessories,plain headbands,plain headband
winter 2024,28,Accessories,statement sunglasses,statement sunglasse
winter 2024,28,Colors,different color,different color
winter 2024,28,Colors,white,white
winter 2024,28,Colors,burgundy,burgundy
winter 2024,28,Materials,fur,fur
winter 2024,28,Materials,leather,leather
winter 2024,28,Trends,statement accessories,statement accessorie
winter 2024,28,Trends,oversized sunglasses,oversized sunglasse
winter 2024,28,Trends,leather gloves up the arm,leather glove up the arm
winter 2024,29,Clothing,Biker jackets,biker jacket
winter 2024,29,Accessories,textured earrings,textured earring
winter 2024,29,Materials,textured metals,textured metal
winter 2024,29,Materials,crinkled metals,crinkled metal
winter 2024,29,Trends,Biker jackets,biker jacket
winter 2024,29,Trends,textured metals,textured metal
winter 2024,29,Trends,quiet curves,quiet curve
winter 2024,30,Clothing,sweater,sweater
winter 2024,30,Clothing,long wool coat,long wool coat
winter 2024,30,Clothing,shorts,short
winter 2024,30,Clothing,glass tapes,glass tape
winter 2024,30,Shoes,loafers,loafer
winter 2024,30,Shoes,flats,flat
winter 2024,30,Shoes,kneels,kneel
winter 2024,30,Accessories,belts,belt
winter 2024,30,Colors,colorful tides,colorful tide
winter 2024,30,Colors,baby blue tides,baby blue tide
winter 2024,30,Colors,white tides,white tide
winter 2024,30,Materials,wool,wool
winter 2024,30,Trends,wearing sweater in a different way (scarf or asymmetrical),wearing sweater in a different way (scarf or asymmetrical)
winter 2024,30,Trends,"wearing socks in a different way (combining different socks with loafers, flats or kneels)","wearing sock in a different way (combining different sock with loafers, flat or kneels)"
winter 2024,30,Trends,glass tapes,glass tape
winter 2024,31,Clothing,fair-Isle sweaters,fair-isle sweater
winter 2024,31,Clothing,butterflies,butterflie
winter 2024,31,Clothing,mini skirt,mini skirt
winter 2024,31,Clothing,dress,dress
winter 2024,31,Clothing,blazer,blazer
winter 2024,31,Clothing,Pontches,pontche
winter 2024,31,Clothing,Capes,cape
winter 2024,31,Clothing,Shals,shal
winter 2024,31,Clothing,cropped jackets,cropped jacket
winter 2024,31,Shoes,over the knee boots,over the knee boot
winter 2024,31,Shoes,knee-high boots,knee-high boot
winter 2024,31,Shoes,slouchy boots,slouchy boot
winter 2024,31,Accessories,bows,bow
winter 2024,31,Accessories,hearts,heart
winter 2024,31,Accessories,little hats,little hat
winter 2024,31,Accessories,headbands,headband
winter 2024,31,Accessories,faux fur,faux fur
winter 2024,31,Accessories,chunky pattern scarf,chunky pattern scarf
winter 2024,31,Accessories,light blue,light blue
winter 2024,31,Colors,light blue,light blue
winter 2024,31,Materials,faux fur,faux fur
winter 2024,31,Trends,contrast knit,contrast knit
winter 2024,31,Trends,fun shape,fun shape
winter 2024,31,Trends,cozy lived-in look,cozy lived-in look
winter 2024,31,Trends,classy,classy
winter 2024,31,Trends,chunky pattern,chunky pattern
winter 2024,31,Patterns,polka dot,polka dot
winter 2024,31,Patterns,not quite so in your face with color,not quite so in your face with color
winter 2024,32,Clothing,dress,dress
winter 2024,32,Clothing,codes,code
winter 2024,32,Clothing,pants,pant
winter 2024,32,Clothing,sweaters,sweater
winter 2024,32,Clothing,monochromatic navy blue outfits,monochromatic navy blue outfit
winter 2024,32,Clothing,fofur jacket,fofur jacket
winter 2024,32,Clothing,burgundy tights,burgundy tight
winter 2024,32,Clothing,color tights,color tight
winter 2024,32,Shoes,moon boots,moon boot
winter 2024,32,Shoes,ag,ag
winter 2024,32,Shoes,minis,mini
winter 2024,32,Accessories,reading glasses,reading glasse
winter 2024,32,Accessories,burgundy shoes,burgundy shoe
winter 2024,32,Colors,Burgundy,burgundy
winter 2024,32,Colors,navy,navy
winter 2024,32,Colors,red,red
winter 2024,32,Colors,pink,pink
winter 2024,32,Colors,yellow,yellow
winter 2024,32,Colors,beige,beige
winter 2024,32,Colors,white,white
winter 2024,32,Colors,black,black
winter 2024,32,Trends,fofur,fofur
winter 2024,32,Trends,mob wife aesthetic,mob wife aesthetic
winter 2024,32,Trends,moon boots,moon boot
winter 2024,32,Trends,mini ag,mini ag
winter 2024,32,Trends,reading glasses,reading glasse
winter 2024,33,Clothing,scarf neckline,scarf neckline
winter 2024,33,Clothing,jeans,jean
winter 2024,33,Clothing,boots,boot
winter 2024,33,Clothing,sweater,sweater
winter 2024,33,Clothing,boho country jacket,boho country jacket
winter 2024,33,Clothing,minimalist blazer,minimalist blazer
winter 2024,33,Clothing,swayed blue outfit,swayed blue outfit
winter 2024,33,Clothing,maxi coat,maxi coat
winter 2024,33,Clothing,cow-fresored outfit,cow-fresored outfit
winter 2024,33,Clothing,brown outfit,brown outfit
winter 2024,33,Clothing,animal print outfit,animal print outfit
winter 2024,33,Clothing,fruity red pants,fruity red pant
winter 2024,33,Clothing,wine red top,wine red top
winter 2024,33,Accessories,scarf,scarf
winter 2024,33,Accessories,minimalist accessories,minimalist accessorie
winter 2024,33,Accessories,leather gloves,leather glove
winter 2024,33,Accessories,sunglasses,sunglasse
winter 2024,33,Accessories,dainty earrings,dainty earring
winter 2024,33,Accessories,tiny belt,tiny belt
winter 2024,33,Accessories,little watch,little watch
winter 2024,33,Accessories,dainty necklaces,dainty necklace
winter 2024,33,Accessories,dinky bracelets,dinky bracelet
winter 2024,33,Colors,blue,blue
winter 2024,33,Colors,brown,brown
winter 2024,33,Colors,wine red,wine red
winter 2024,33,Materials,sway,sway
winter 2024,33,Materials,cordway,cordway
winter 2024,33,Materials,velvet,velvet
winter 2024,33,Trends,scarf necklines,scarf neckline
winter 2024,33,Trends,boho countryside,boho countryside
winter 2024,33,Trends,minimalist accessories,minimalist accessorie
winter 2024,33,Trends,leather gloves,leather glove
winter 2024,33,Trends,sunglasses,sunglasse
winter 2024,33,Trends,dainty earrings,dainty earring
winter 2024,33,Trends,animal prints as new neutral,animal print a new neutral
winter 2024,33,Trends,maxi coats,maxi coat
winter 2024,33,Trends,cow prints,cow print
winter 2024,33,Trends,wine red,wine red
winter 2024,33,Patterns,animal prints,animal print
winter 2024,34,Clothing,Micro Mini shorts,micro mini short
winter 2024,34,Clothing,tights,tight
winter 2024,34,Clothing,heels,heel
winter 2024,34,Clothing,Trauzers,trauzer
winter 2024,34,Clothing,black and gray wash jeans,black and gray wash jean
winter 2024,34,Clothing,fur coats,fur coat
winter 2024,34,Shoes,heels,heel
winter 2024,34,Accessories,watches,watche
winter 2024,34,Accessories,belts,belt
winter 2024,34,Colors,deep cherry red,deep cherry red
winter 2024,34,Colors,slate gray,slate gray
winter 2024,34,Colors,clay blue,clay blue
winter 2024,34,Materials,suede,suede
winter 2024,34,Trends,Micro Mini shorts paired with tights and heels,micro mini short paired with tight and heel
winter 2024,34,Trends,watches,watche
winter 2024,34,Trends,belts,belt
winter 2024,35,Clothing,large statement over coat,large statement over coat
winter 2024,35,Clothing,parka,parka
winter 2024,35,Clothing,puffer,puffer
winter 2024,35,Clothing,leather jacket,leather jacket
winter 2024,35,Clothing,leather pants,leather pant
winter 2024,35,Shoes,sneakers,sneaker
winter 2024,35,Shoes,gazelles,gazelle
winter 2024,35,Shoes,sombers,somber
winter 2024,35,Shoes,Dries van Noen sneaker,drie van noen sneaker
winter 2024,35,Accessories,bucket hat,bucket hat
winter 2024,35,Colors,lush textures,lush texture
winter 2024,35,Colors,out there colors,out there color
winter 2024,35,Materials,sheer fabrics,sheer fabric
winter 2024,35,Materials,leather,leather
winter 2024,35,Trends,big boss codes,big boss code
winter 2024,35,Trends,sheer force,sheer force
winter 2024,35,Trends,new bucket hat,new bucket hat
winter 2024,35,Trends,leather weather,leather weather
winter 2024,35,Trends,great camo redux,great camo redux
winter 2024,35,Trends,old but new sneakers,old but new sneaker
winter 2024,35,Patterns,camo,camo
winter 2024,36,Clothing,turtlenecks,turtleneck
winter 2024,36,Clothing,crew neck,crew neck
winter 2024,36,Clothing,sweaters,sweater
winter 2024,36,Clothing,plain white tank,plain white tank
winter 2024,36,Clothing,big chunky dad sneakers,big chunky dad sneaker
winter 2024,36,Shoes,neutral sneakers,neutral sneaker
winter 2024,36,Colors,lots of colors,lot of color
winter 2024,36,Materials,cashmere,cashmere
winter 2024,36,Materials,recycled polyester,recycled polyester
winter 2024,36,Materials,acrylic,acrylic
winter 2024,36,Materials,spandex,spandex
winter 2024,36,Materials,100% organic,100% organic
winter 2024,36,Trends,100% cashmere sweaters,100% cashmere sweater
winter 2024,36,Trends,organic products,organic product
winter 2024,36,Trends,neutral sneakers,neutral sneaker
winter 2024,37,Clothing,scarf attached cardigan,scarf attached cardigan
winter 2024,37,Clothing,knit jumper,knit jumper
winter 2024,37,Clothing,matching scarf,matching scarf
winter 2024,37,Clothing,coat,coat
winter 2024,37,Clothing,fully fashion knitwear,fully fashion knitwear
winter 2024,37,Clothing,set,set
winter 2024,37,Clothing,knitted sports jersey,knitted sport jersey
winter 2024,37,Clothing,knitted rugby jumper,knitted rugby jumper
winter 2024,37,Clothing,sports jersey,sport jersey
winter 2024,37,Accessories,scarf,scarf
winter 2024,37,Materials,metallic yarn,metallic yarn
winter 2024,37,Materials,reach knitwear,reach knitwear
winter 2024,37,Materials,jersey silhouette,jersey silhouette
winter 2024,37,Trends,attached scarf cardigan,attached scarf cardigan
winter 2024,37,Trends,metallic yarn in knitwear,metallic yarn in knitwear
winter 2024,37,Trends,reach knitwear,reach knitwear
winter 2024,37,Trends,knitted sports jersey,knitted sport jersey
winter 2024,37,Other,Toe Tem,toe tem
winter 2024,37,Other,The House of Sunny One,the house of sunny one
winter 2024,37,Other,yellow the label,yellow the label
winter 2024,37,Other,sports influence,sport influence
winter 2024,38,Clothing,black cherry statement bags,black cherry statement bag
winter 2024,38,Clothing,Jay Hookrew's ED bucket bag in Coco Berry,jay hookrew' ed bucket bag in coco berry
winter 2024,38,Colors,black cherry,black cherry
winter 2024,38,Trends,black cherry trend,black cherry trend
winter 2024,38,Other,luxurious lipsticks,luxuriou lipstick
winter 2024,38,Other,chic accessories,chic accessorie
winter 2024,38,Other,skin care,skin care
winter 2024,38,Other,apathy bitter cherry candle,apathy bitter cherry candle
winter 2024,38,Other,Laura Geller's jelly bomb in very black cherry,laura geller' jelly bomb in very black cherry
winter 2024,38,Other,"Philosophy's radiant, grace whipped body cream","philosophy' radiant, grace whipped body cream"
winter 2024,38,Other,Essie's wicked nail polish,essie' wicked nail polish
winter 2024,38,Other,IGK's color depositing hair mask and Williamsburgandy,igk' color depositing hair mask and williamsburgandy
winter 2024,38,Other,body butters,body butter
winter 2024,38,Other,candles,candle
winter 2024,38,Other,hair enthusiasts,hair enthusiast
winter 2024,39,Clothing,off the shoulder white top,off the shoulder white top
winter 2024,39,Clothing,low waist pants,low waist pant
winter 2024,39,Clothing,jeans,jean
winter 2024,39,Clothing,shorts (as mentioned with jeans),short (a mentioned with jeans)
winter 2024,39,Shoes,combat boots,combat boot
winter 2024,39,Accessories,headband,headband
winter 2024,39,Colors,white,white
winter 2024,39,Materials,sheer,sheer
winter 2024,39,Materials,mesh,mesh
winter 2024,39,Trends,off the shoulder,off the shoulder
winter 2024,39,Trends,longer tops,longer top
winter 2024,39,Trends,low waist,low waist
winter 2024,39,Trends,sheer and mesh,sheer and mesh
winter 2024,39,Trends,stripes,stripe
winter 2024,39,Trends,pinstripes,pinstripe
winter 2024,39,Patterns,pinstripes,pinstripe
winter 2024,42,Clothing,turtleneck sweater,turtleneck sweater
winter 2024,42,Clothing,dress,dress
winter 2024,42,Clothing,tights,tight
winter 2024,42,Shoes,black shoes,black shoe
winter 2024,42,Shoes,boots,boot
winter 2024,42,Accessories,black belt,black belt
winter 2024,42,Accessories,bag,bag
winter 2024,42,Colors,black,black
winter 2024,42,Materials,wool,wool
winter 2024,42,Trends,this style,thi style
winter 2024,42,Other,hair,hair
winter 2024,42,Other,makeup,makeup
winter 2024,43,Clothing,oversized coats,oversized coat
winter 2024,43,Clothing,knitwear,knitwear
winter 2024,43,Clothing,knit dresses,knit dresse
winter 2024,43,Clothing,checkered coat,checkered coat
